구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드
,10,1,던전 지역 배경,,,,0,고룡의 무덤에서 어떠한 것도 찾을 수 없었다.,We couldn't find anything at Bone Yard.,在古龍的墓地中，什麼也沒能找到。,,
,10,2,던전 지역 배경,누리,Nuri,諾莉,3,검은로브랑 고대드래곤이 없네?,There's no black robe or ancient dragon.,黑袍和古代神龍都不見了？,,
,10,3,던전 지역 배경,즈믄,Zimon,茲門,6,방심하지마. 어딘가에서 갑자기 나타날수도 있어.,Stay focused. They could show up.,別掉以輕心。它們搞不好會突然出現。,,
,10,4,던전 지역 배경,주인공,Player,Player,0,혹시 모르니까 설치 못한 센서장치를 설치하자.,Let's install the sensor just in case.,為了以防萬一，還是裝一下沒裝上去的感應裝置吧。,,
,11,1,던전 지역 배경,,,,0,고룡의 무덤에 센서 장치를 설치하고 작동시켰다.,We installed and activated the sensor.,我們在古龍的墓地安裝了感應裝置並啟動了它。,,
,11,2,던전 지역 배경,누리,Nuri,諾莉,2,음…..,Um...,恩....,,
,11,3,던전 지역 배경,주인공,Player,Player,0,무슨 일 있어?,Is there something wrong?,有甚麼事嗎?,,
,11,4,던전 지역 배경,누리,Nuri,諾莉,2,문득 든 생각인데 검은로브의 사도들은 제사를 지내거나 의식을 치른다고 했잖아?,"I just thought, pristess said that black robes hold rituals, right?",我突然想到，黑袍的使徒們不是會舉行祭祀或儀式嗎？,,
,11,5,던전 지역 배경,주인공,Player,Player,0,"맞아, 그랬지.","Yeah, that's what they said.",诶，對诶。,,
,11,6,던전 지역 배경,누리,Nuri,諾莉,2,그러면 이쪽이 아니라 제단이 있는 곳 부터 찾아보는건 어때?,"Then why don't we look for the altar first, not hear?",那麼，不如從有祭壇的地方開始找找看怎麼樣？,,
,11,7,던전 지역 배경,즈믄,Zimon,茲門,6,에엑? 말도 안돼…,Huh? That's ridiculous.,欸？你怎麼…,,
,11,8,던전 지역 배경,누리,Nuri,諾莉,2,응? 뭐가 말이 안되는거야?,What? What's ridiculous?,嗯？有什麼不合理的嗎？,,
,11,9,던전 지역 배경,즈믄,Zimon,茲門,6,"아니, 너의 머리에서 어떻게 그런 생각을..",How could you think of that in your head?,怎麼會從你的腦袋裡想到這種點子…？,,
,11,10,던전 지역 배경,즈믄,Zimon,茲門,7,누리 너도 점점 성장을 하는구나!,"Nuri, you're growing up!",諾莉，你也在不斷成長啊！,,
,11,11,던전 지역 배경,누리,Nuri,諾莉,4,이 성장판 닫힌 드래곤이 뭐라는거야!,"What are you talking about, you cheeky little dragon?",你這停止成長的龍到底在胡說甚麼?,,
,11,12,던전 지역 배경,,,,0,갑자기 투닥거리며 싸우는 누리와 즈믄.,Nuri and Zimon suddenly quarreling.,突然開始互相爭吵的諾莉和吉蒙。,,
,11,13,던전 지역 배경,,,,0,고대 드래곤이 보이지 않자 누리의 긴장이 풀린 것 같다.,Nuri seems to have relaxed because the ancient dragon didn't show up.,看不到古代神龍，似乎讓諾莉的緊張感放鬆了。,,
,11,14,던전 지역 배경,,,,0,분명 즈믄은 이를 놓치지 않고 장난을 친 것이다.,"In my opinion, Zimon didn't miss this timing",一定是吉蒙沒放過這個機會，開始開玩笑了。,,
,11,15,던전 지역 배경,주인공,Player,Player,0,그만 그만. 일단 어둠의 제단으로 가자.,Stop stop . Let's go to the Dark Altar.,夠了夠了，先去黑暗的祭壇吧。,,
,12,1,던전 지역 배경,,,,0,몬스터들이 어떤 의식을 치르고 있는 걸 목격했다.,We saw the monsters performing some rituals.,我們目擊到怪物們正在進行某種儀式。,,
,12,2,던전 지역 배경,누리,Nuri,諾莉,2,몬스터들이 의식을 치르는 건 처음 보는데..?,I've never seen monsters perform a ritual before.,第一次看到怪物們在進行儀式呢？,,
,12,3,던전 지역 배경,즈믄,Zimon,茲門,6,뭔가 불길한데...,Something's ominous.,感覺有點不祥…,,
,12,4,던전 지역 배경,누리,Nuri,諾莉,3,뭐하는지 한번 물어보지 뭐~,Let's ask them what they do!,不如問問它們在做什麼吧~,,
,12,5,던전 지역 배경,즈믄,Zimon,茲門,8,누리 잠깐 기다려!,Nuri! STOP!,諾莉，等一下！,,
,12,6,던전 지역 배경,,,,0,누리는 말릴 새도 없이 몬스터에게 다가갔다.,Nuri walked to the monsters with no time to stop her.,諾莉在我還沒來得及阻止的時候，已經走近怪物了。,,
,13,1,던전 지역 배경,누리,Nuri,諾莉,4,대체 여기서 무슨 일을 꾸미고 있는거야?,What are you guys doing here?,到底在這裡搞什麼鬼？,,
,13,2,던전 지역 배경,카이저데몬,Kaiser Demon,凱澤魔鬼,102,….,….,….,,
,13,3,던전 지역 배경,주인공,Player,Player,0,검은로브를 입은 자들이 찾아온 적 있어?,Have you ever seen people in black robes?,曾經有穿著黑袍的人來過嗎？,,
,13,4,던전 지역 배경,,,,0,내가 물어보자 카이저데몬은 기분 나쁜 소리로 웃으며 대답했다.,"When I asked, Kaiser Demon replied with a nasty laugh.",我一問，凱澤魔鬼帶著不悅的笑聲回答了。,,
,13,5,던전 지역 배경,카이저데몬,Kaiser Demon,凱澤魔鬼,102,키킥.. 그자를 얘기하는건가..키킥,Are you talking about him? krrrr,嘻嘻... 是在說那個人嗎... 嘻嘻,,
,13,6,던전 지역 배경,누리,Nuri,諾莉,4,야! 왜 내 말은 무시하는건데!,Hey! Why are you ignoring me?,嘿！為什麼忽視我的話！,,
,13,7,던전 지역 배경,카이저데몬,Kaiser Demon,凱澤魔鬼,102,키키킥. 그자가 누구인지 중요해? 의식이 끝났다는게 중요하지? 키킥,Kick kick. Does it matter who he is? It's important that the ritual is over!,嘻嘻嘻。那個人是誰重要嗎，儀式結束才是最重要的吧？嘻嘻,,
,13,8,던전 지역 배경,주인공,Player,Player,0,의식이 끝나…?,What?,儀式結束了…？,,stop
,13,9,던전 지역 배경,,,,0,내 의문이 풀리기도 전에 땅이 크게 흔들렸다.,The ground shook hard even before my question was solved.,在我還沒解開疑問之前，土地劇烈地震動了。,7,
,13,10,던전 지역 배경,,,,0,그 순간 이질적인 기운을 느껴 그쪽을 바라봤다.,"At that moment, I felt a disparate energy and looked at you.",就在那一刻，我感覺到一股異樣的氣息，轉頭朝那邊看去。,,BGM/Sky_mine.mp3
,13,11,시즌6컷신6,,,,0,내 시선 끝에는 다른 공간과 연결되는 구멍이 있었고,There was a hole at the end of my eye that connected to another space.,在我的視線盡頭，有一個與其他空間相連的洞口。,1,
,13,12,시즌6컷신6,,,,0,그 구멍을 통해 처음 보는 몬스터가 넘어왔다.,And monsters that I've never seen before came over through the hole.,透過那個洞口，一隻我從未見過的怪物爬了出來。,,
,13,13,시즌6컷신6,누리,Nuri,諾莉,5,저..저것들은 뭐야?,What is that?,那...那是什麼？,,
,13,14,시즌6컷신6,카이저데몬,Kaiser Demon,凱澤魔鬼,102,다이어울프라 불리는 놈들이지~ 키키킥.,They're called Dire wolf.,那是被叫做「恐狼」的傢伙們~ 嘻嘻嘻。,,
,13,15,시즌6컷신6,주인공,Player,Player,0,[다이어울프? 언뜻 보기에도 늑대 같이 생기긴 했는데 왠지 위험해 보여.],"[ Dire wolf? they look like wolves at first glance, but somehow they look dangerous.]",[恐狼？乍看之下確實像是狼，但看起來有點危險。],,
,13,16,시즌6컷신6,즈믄,Zimon,茲門,8,(주인공)! 주변 장치들을 파괴해서 못나오게 막아!,(주인공)! Destroy the devices around it to stop them!,(주인공)！摧毀周圍的裝置，阻止它們出來！,,
,13,17,시즌6컷신6,주인공,Player,Player,0,아..알았어!,"Oh, I will!",啊..知道了！,,
,14,1,던전 지역 배경,,,,0,주변 장치를 모두 파괴하자 구멍이 사라졌다.,"When all the surrounding devices were destroyed, the hole disappeared.",摧毀了周圍的裝置後，洞口消失了。,,
,14,2,던전 지역 배경,누리,Nuri,諾莉,2,이런.. 이미 몇 마리 빠져나갔는데?,"Oh, no. we've lost a few.",糟糕... 已經有幾隻逃出去了？,,
,14,3,던전 지역 배경,즈믄,Zimon,茲門,8,"마을쪽으로 가는걸 봤어, 빨리 쫓아가자!","I saw them heading toward village, let's go after them!",我看到它們朝村莊那邊去了，快點追上去！,,
,14,4,던전 지역 배경,카이저데몬,Kaiser Demon,凱澤魔鬼,102,"키키킥, 이미 늦었다. 곧 고대의 힘이 부활할 것이니까! 키키킥.","Kick, it's too late. Soon the ancient power will be restored! Kick, kick.",嘻嘻嘻，已經來不及了。很快古代的力量就會復甦！嘻嘻嘻。,,
,14,5,던전 지역 배경,,,,0,카이저데몬은 알 수 없는 말을 남기곤 어둠의 제단 밑으로 도망쳤다.,"Kaiser Demon fled under the altar, leaving an unknown word.",凱澤魔鬼留下一句不明的話後，便逃入了黑暗祭壇下方。,,
,14,6,던전 지역 배경,누리,Nuri,諾莉,2,고대의 힘이라니.. 그게 무슨..,Ancient power? What the...,古代的力量…那是什麼…,,
,14,7,던전 지역 배경,즈믄,Zimon,茲門,8,그보다 마을 사람들이 위험해!,People are more dangerous than that!,沒時間聊了，村民現在很危險啊!,,
,15,1,마을 배경,,,,0,마을은 평온했다.,The village was at peace.,村莊一片平靜。,,
,15,2,마을 배경,,,,0,다이어울프가 오지 않은 것 같다.,I don't think Dire wolves have come.,看來恐狼還沒有來。,,
,15,3,마을 배경,누리,Nuri,諾莉,3,휴~ 다행히 아무일도 없어보여.,"Phew~ Fortunately, nothing seems to have happened.",咻~ 看來什麼事也沒有發生。,,
,15,4,마을 배경,주인공,Player,Player,0,[그럼 대체 다이어울프들은 어디로 간거지?],[So where the hell did the wolf go?],[那麼究竟恐狼們去哪裡了呢？],,
,15,5,마을 배경,,,,0,생각에 잠겨 있을 때 넬슨이 숨을 헐떡이며 우리 앞에 나타났다.,"While thinking, Nelson appeared in front of us gasping for breath.",當我陷入沉思時，尼爾森氣喘吁吁地出現在我們面前。,,
,15,6,마을 배경,넬슨,Nelsen,內爾森,13,헉..헉.. 혹시 우리 아리아 본 적 없어?,Have you ever seen my daughter?!,嘿..嘿.. 你有看到艾莉亞嗎？,,
,15,7,마을 배경,넬슨,Nelsen,內爾森,13,돌아올 시간이 됐는데 아직 돌아오지 않았어..,"It's time for her to come back, but she hasn't returned yet.",時間已經差不多了，但她還是還沒回來...,,
,15,8,마을 배경,누리,Nuri,諾莉,2,어디로 갔는데요?,Where did she go?,她去哪裡了？,,
,15,9,마을 배경,넬슨,Nelsen,內爾森,13,잠깐 나갔다 오겠다고만 했는데 어디로 갔는진 모르겠어.,"She said she would go out for a while, but I don't know where she went.",他只有說他稍微出去一下，並沒有準確跟我說要去哪裡。,,
,15,10,마을 배경,즈믄,Zimon,茲門,6,마을에서 본 사람이 있을거야. 일단 목격자를 찾아보자.,I think there's someone in the village who's seen her. Let's find a witness.,在村子裡應該有人見過她。我們先找找目擊者吧。,,
,16,1,월드 배경,누리,Nuri,諾莉,2,혹시 아리아가 어디로 갔는지 보셨어요?,Did you see where Aria went?,您有看到艾莉亞去哪裡了嗎？,,
,16,2,월드 배경,할아버지,Senior,商店老人,103,아리아는.. 오늘 본 적이 없구나. 다른 사람에게도 물어보렴.,Aria... I haven't seen her today. Ask someone else.,艾莉亞...今天沒有見過她。你可以問問其他人。,,
,16,3,월드 배경,주인공,Player,Player,0,[여기서 본 사람은 없는 것 같다. 점술집에 가보자],[I don't think anyone has seen her here. Let's go to the spirit lodge],[這裡似乎沒有人見過她。我們去占卜店看看吧。],,
,17,1,점술집 배경,누리,Nuri,諾莉,2,언니. 혹시 아리아가 어디로 갔는지 보셨어요?,Did you see where Aria went?,姐姐，妳有看到艾莉亞去哪裡了嗎？,,
,17,2,점술집 배경,유리아,Yulia,尤里亞,104,아리아라면 아까 하늘의 신전으로 가는걸 봤어요.,I saw Aria go to Sky Temple earlier.,如果是艾莉亞的話，我剛才看到她朝著天空神殿的方向走去了。,,
,17,3,점술집 배경,누리,Nuri,諾莉,2,언제요?,When?,什麼時候?,,
,17,4,점술집 배경,유리아,Yulia,尤里亞,104,흠..시간이 꽤 지난것 같은데…,Hmm.. I think it's been a while...,嗯…似乎已經過了不少時間了…,,
,17,5,점술집 배경,즈믄,Zimon,茲門,6,그 늑대들이 데려간거 아냐?],Didn't those wolves take her?,難道是那些狼把她帶走了嗎？,,
,17,6,점술집 배경,,,,0,아리아가 걱정되기 시작했다. 서둘러 하늘의 신전으로 향했다.,We are beginning to worry about Aria and hurried to Sky Temple,開始擔心起艾莉亞來了。我急忙朝天空神殿走去。,,
,18,1,하늘의 신전 배경,,,,0,하늘의 신전을 둘러보아도 아리아를 찾을 수 없었다.,We looked around the Sky Temple but couldn't find Aria.,即使四處搜尋天空神殿，也找不到艾莉亞。,,
,18,2,하늘의 신전 배경,누리,Nuri,諾莉,5,어떡해? 여긴 아리아가 없는 것 같아.,What should we do? I don't think Aria is here.,怎麼辦？這裡好像沒有艾莉亞。,,
,18,3,하늘의 신전 배경,즈믄,Zimon,茲門,6,제우스 주니어라면 알고 있을 지도 몰라.,Zeus Jr. might know.,或許宙斯 Jr.可能知道。,,
,18,4,하늘의 신전 배경,즈믄,Zimon,茲門,6,하늘의 신전으로 들어오는 자들을 계속 주시하고 있잖아.,He keeps an eye on those who enter the Sky Temple.,他一直在盯著進入天空神殿的人。,,
,19,1,하늘의 신전 배경,누리,Nuri,諾莉,2,아리아라는 소녀를 봤어?,Did you see a girl named Aria?,請問您有看到一個叫艾莉亞的女孩嗎？,,
,19,2,하늘의 신전 배경,,,,0,제우스주니어는 커다란 늑대들이 불의 산으로 잡아가는 걸 봤다고 말한다.,Zeus Jr. says he saw a big wolf take a girl to Fire Mt.,宙斯 Jr.說他看到那些巨大的狼把艾莉亞帶往火焰山。,,
,19,3,하늘의 신전 배경,주인공,Player,Player,0,다이어울프가 잡아간게 틀림없어!,They kidnapped her!,一定是恐狼把她抓走了！,,
,19,4,하늘의 신전 배경,누리,Nuri,諾莉,5,아리아가 위험해!,Aria is in danger!,艾莉亞有危險！,,
,19,5,하늘의 신전 배경,,,,0,우리는 아리아를 구하기 위해 서둘러 불의 산으로 달려갔다.,We rushed to the Fire Mt. to save Aria.,我們為了救艾莉亞，急忙奔向火焰山。,,
,20,1,불의 산 배경,,,,0,드디어 아리아를 찾았다.,We found Aria.,終於找到了艾莉亞。,,BGM_War.mp3
,20,2,불의 산 배경,,,,0,아리아는 다이어울프 3마리 사이에 기절해 있었다.,She had fainted among the three wolves.,艾莉亞倒在三隻恐狼之間，已經昏迷不醒。,,
,20,3,불의 산 배경,누리,Nuri,諾莉,2,저기 아리아가 있어!,There she is!,是艾莉亞！,,
,20,4,불의 산 배경,즈믄,Zimon,茲門,8,주변에 다이어울프들이 있으니 조심해!,Watch out the wolves!,周圍有恐狼，小心點！,,
,21,1,불의 산 배경,,,,0,다이어울프는 힘겨워하며 다른 차원으로 도망쳤다.,"Dire wolf fled to another dimension, struggling.",恐狼們在掙扎中逃向了另一個維度。,,BGM_War.mp3
,21,2,불의 산 배경,누리,Nuri,諾莉,2,좋아! 잘했어 (주인공)!,"Good! Good job, (주인공)!",很好！做得好！(주인공),,
,21,3,불의 산 배경,즈믄,Zimon,茲門,8,조심해! 아직 2마리가 더 있어!,Watch out! There are still two more!,小心！那裏還有兩隻！,,
,22,1,불의 산 배경,주인공,Player,Player,0,아리아!,Aria!,艾莉亞!,,
,22,2,불의 산 배경,,,,0,다이어울프 3마리 모두 쫓아내고 아리아를 구했다.,We drove all three of the Dire wolves out and saved Aria.,我們把三隻恐狼都趕走了，成功救回了艾莉亞。,,
,22,3,불의 산 배경,,,,0,겉으로 보기에는 별 다른 상처는 없었다.,She didn't look hurt.,從外表看來，她似乎沒有什麼嚴重的傷口。,,
,22,4,불의 산 배경,,,,0,그래도 상태를 보기 위해 아리아를 깨웠다.,But I woke Aria up to see her condition.,儘管如此，為了檢查她的狀況，我還是把艾莉亞叫醒了。,,
,22,5,불의 산 배경,누리,Nuri,諾莉,2,아리아 괜찮아?,Are you okay?,艾莉亞，你還好嗎？,,
,22,6,불의 산 배경,아리아,Aria,艾莉亞,15,"네, 저는 괜찮아요.","Yes, I'm fine.",我沒事，謝謝你。,,
,22,7,불의 산 배경,주인공,Player,Player,0,어떻게 된 일이야?,What happened to you?,到底發生了什麼事呢？,,
,22,8,불의 산 배경,아리아,Aria,艾莉亞,15,하늘의 신전에서 약초를 캐고 집으로 돌아오려는데,"I was going to come back home after digging up herbs from the temple, ",我在天空神殿採草藥後，正準備回家的時候，,,
,22,9,불의 산 배경,아리아,Aria,艾莉亞,15,늑대들이 절 데리고 이곳으로 왔어요.,but the wolves brought me here.,突然被狼帶到了這裡。,,
,22,10,불의 산 배경,아리아,Aria,艾莉亞,15,이곳에 도착한 후 늑대들은 울부짖기 시작했고…,"After arriving here, the wolves began to howl...",到達這裡後，那些狼開始嚎叫...,,
,22,11,불의 산 배경,아리아,Aria,艾莉亞,17,...그 후론 기억이 나지 않아요.,...I don't remember after that.,...之後我就什麼也不記得了。,,
,22,12,불의 산 배경,즈믄,Zimon,茲門,6,다이어울프가 왜 아리아를 잡아온건지 알 수가 없네.,Why did the wolves kidnap her?,我們無法知道為什麼恐狼會抓艾莉亞過來。,,
,22,13,불의 산 배경,즈믄,Zimon,茲門,6,여긴 3마리 밖에 없으니 다른 다이어울프를 찾아내면 알 수 있을거야.,"There's only three here, so we'll find other wolves and we'll find out.",這裡只有三隻，如果找到其他的恐狼，恐怕就能知道真相了。,,
,22,14,불의 산 배경,주인공,Player,Player,0,일단 마을로 돌아가자!,Let's go back to the village!,先回村莊吧！,,
,22,15,불의 산 배경,누리,Nuri,諾莉,2,맞아! 아리아부터 안전하게 데려다줘야지.,That's right! We'll take Aria home safely first.,對！我們得先把艾莉亞安全送回去。,,
,23,1,마을 배경,,,,0,우린 넬슨에게 아리아를 무사히 데려다주고 헤어졌다.,We took Aria safely to Nelson and parted.,我們把艾莉亞平安送回給尼爾森後，便各自分開了。,,
,23,2,마을 배경,,,,0,마을에 빛의 사제들이 찾아와 있었기 때문이었다.,It was because the priests were visiting the village.,那是因為光之祭司們來到了村子裡了。,,
,23,3,마을 배경,누리,Nuri,諾莉,2,어? 빛의 사제님들이 여긴 어떻게 오신거에요?,Oh? How did the you get here?,啊？光之祭司們怎麼會來這裡呢？,,
,23,4,마을 배경,요셉,Joseph,約瑟,98,베로니카님이 깨어나신 후 하늘왕국부터 모험지역까지 센서장치를 설치하다가 마을에 도착한겁니다.,We arrived here after Veronica woke up and installed sensors from Sky realm to Adventure.,在貝羅尼卡大人醒來後，她從蒼空帝國到冒險區安裝感應裝置，最後來到了這個村莊。,,
,23,5,마을 배경,베로니카,Veronica,貝羅尼卡,94,혹시 검은로브의 사도와 관련되서 알아내신게 있으신가요?,Did you find out anything about the black robe?,請問光之祭司們有沒有發現與黑袍使徒有關的事情呢？,,
,23,6,마을 배경,,,,0,우린 그동안 있었던 일들에 대해 이야기 했다.,We told them about what had happened.,我們聊起了這段時間發生的種種事情。,,
,23,7,마을 배경,베로니카,Veronica,貝羅尼卡,94,다이어울프와 고대의 힘에 부활...,Dire wolves and resurrection of ancient powers...,恐狼和古代的力量復活...,,
,23,8,마을 배경,요셉,Joseph,約瑟,98,근데 다른 다이어울프들은 어디로 갔을까요?,But where did the other wolves go?,那麼，其他的恐狼們到底去哪裡了呢？,,
,23,9,마을 배경,베로니카,Veronica,貝羅尼卡,94,일단 불의 산 주변에 남아있을지도 모르니 돌아보면서 찾아보죠.,"Wolves may be left in Fire Mt, so let's search near the mountain.",或許它們還留在火焰山附近，我們邊走邊找找看吧。,,
,24,1,희망의 숲 배경,요셉,Joseph,約瑟,98,숲 쪽으로는 오지 않은 것 같아요.,I don't think they came towards the forest.,它們似乎沒有來森林區域。,,
,24,2,희망의 숲 배경,누리,Nuri,諾莉,2,난파선으로 가봐요.,Let's go to the Wrecked Ship.,我們去那艘船骸看看吧。,,
